,Data_path,Image_path,Condition,mPlate,Processing
p1_CTRL,pyphe_quant/NewProject-Run-2-Plate-001-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-001-Ctrl.jpg,LB,p_1,2024-03-11 15:46:07.495723
p1_EXP,pyphe_quant/NewProject-Run-2-Plate-001-Exp.jpg.csv,images/NewProject-Run-2-Plate-001-Exp.jpg,LB+Salt,p_1,2024-03-11 15:46:07.495723
p2_CTRL,pyphe_quant/NewProject-Run-2-Plate-002-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-002-Ctrl.jpg,LB,p_2,2024-03-11 15:46:07.495723
p2_EXP,pyphe_quant/NewProject-Run-2-Plate-002-Exp.jpg.csv,images/NewProject-Run-2-Plate-002-Exp.jpg,LB+Salt,p_2,2024-03-11 15:46:07.495723
p3_CTRL,pyphe_quant/NewProject-Run-2-Plate-003-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-003-Ctrl.jpg,LB,p_3,2024-03-11 15:46:07.495723
p3_EXP,pyphe_quant/NewProject-Run-2-Plate-003-Exp.jpg.csv,images/NewProject-Run-2-Plate-003-Exp.jpg,LB+Salt,p_3,2024-03-11 15:46:07.495723
p4_CTRL,pyphe_quant/NewProject-Run-2-Plate-004-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-004-Ctrl.jpg,LB,p_4,2024-03-11 15:46:07.495723
p4_EXP,pyphe_quant/NewProject-Run-2-Plate-004-Exp.jpg.csv,images/NewProject-Run-2-Plate-004-Exp.jpg,LB+Salt,p_4,2024-03-11 15:46:07.495723
p5_CTRL,pyphe_quant/NewProject-Run-2-Plate-005-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-005-Ctrl.jpg,LB,p_5,2024-03-11 15:46:07.495723
p5_EXP,pyphe_quant/NewProject-Run-2-Plate-005-Exp.jpg.csv,images/NewProject-Run-2-Plate-005-Exp.jpg,LB+Salt,p_5,2024-03-11 15:46:07.495723
p6_CTRL,pyphe_quant/NewProject-Run-2-Plate-006-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-006-Ctrl.jpg,LB,p_6,2024-03-11 15:46:07.495723
p6_EXP,pyphe_quant/NewProject-Run-2-Plate-006-Exp.jpg.csv,images/NewProject-Run-2-Plate-006-Exp.jpg,LB+Salt,p_6,2024-03-11 15:46:07.495723
p7_CTRL,pyphe_quant/NewProject-Run-2-Plate-007-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-007-Ctrl.jpg,LB,p_7,2024-03-11 15:46:07.495723
p7_EXP,pyphe_quant/NewProject-Run-2-Plate-007-Exp.jpg.csv,images/NewProject-Run-2-Plate-007-Exp.jpg,LB+Salt,p_7,2024-03-11 15:46:07.495723
