Plate	Wells
p_1	H7
p_2	G2 F4 G4 F5 H5 G11 E12
p_4	B5 C9
p_5	E1 G1 B2 F2 G2 B3 E3 C4 G5 F6 G6 C7 G8 B9 G9 D10 F10 G10 C11 F11 G11 G12
p_7	C3 F4
p_9	A1 G3
p_10	A1
p_11	B3
p_13	G2 H12
p_14	F4
p_15	G6
p_19	D10
p_20	C2 G5 B8 E11
p_21	F3 G7
p_23	C10 F11 D12
p_25	D9 H10
p_26	G1 G2 D4 D6 G7 C8 E8 D9 E9 A10 F11 G11 G12 H12
p_27	B2
p_30	A5 B6 A7 B7 C7 H7 A8 B8 C8 D8 A9 B9 C9 A10 B10 C10 D10 A11 A12
p_31	C6 G9
p_32	B1 A3 D3 G3 G4 B6 A10 C10 D11
p_33	E10
p_35	G1 A4 E5 F11
p_37	B2
p_38	E5
p_39	H4 A6 G6 B11
p_40	C4 G4 D5 E5 D6 F7 F8 E9 C10 C11
p_46	C2 D3 E3 D4 C5 F5 D6 E6 C7 E7 F7 C8 E8
p_47	C4
p_52	E1 C2 E2 H4 F5 F6 G6 E7 H7 C8 A9 D9 H9 D10 E10 G10 H10 E12
