,area,centroid,mean_intensity,perimeter,row,column,circularity
1,803.0,"(22.819427148194272, 90.24034869240349)",0.5552674203762036,110.8111831820431,1,2,0.8217850290089955
2,812.0,"(25.208128078817733, 332.3694581280788)",0.5345648604269294,107.32590180780451,1,6,0.8858430875083286
3,869.0,"(25.50632911392405, 272.76409666283087)",0.5373978053054747,110.5685424949238,1,5,0.8932365199408799
4,761.0,"(25.440210249671484, 393.8580814717477)",0.5517439213968548,100.66904755831214,1,7,0.9436318724611449
5,666.0,"(25.45945945945946, 211.9924924924925)",0.5493257963846199,95.25483399593904,1,4,0.9223803538933883
6,924.0,"(84.83225108225108, 576.0432900432901)",0.5151515151515151,117.63961030678928,2,10,0.8390245737867235
7,807.0,"(83.8364312267658, 31.090458488228006)",0.559778409505066,104.08326112068522,2,1,0.9360986452414158
8,743.0,"(84.48048452220726, 211.69448183041723)",0.491295665866167,100.91168824543142,2,4,0.9168868283874054
9,776.0,"(84.03350515463917, 91.47938144329896)",0.5071524829863217,104.08326112068524,2,2,0.9001394655605185
10,807.0,"(85.26022304832713, 272.42503097893433)",0.48815511334645384,104.91168824543142,2,5,0.9213733515154903
11,822.0,"(85.25912408759125, 393.74087591240874)",0.5013787510137875,104.32590180780451,2,7,0.9490681226952972
12,916.0,"(85.43231441048034, 454.34606986899564)",0.4887176413505722,114.81118318204308,2,8,0.8732466988603076
13,774.0,"(85.00258397932816, 151.73643410852713)",0.48355710932090323,106.08326112068522,2,3,0.8642852488383531
14,816.0,"(85.4595588235294, 637.3651960784314)",0.5492342688709471,105.25483399593904,2,11,0.9255841766473143
15,703.0,"(144.67709815078237, 152.15647226173542)",0.46827322678715866,99.49747468305833,3,3,0.89236200925096
16,891.0,"(145.36812570145904, 454.0112233445567)",0.4492418740784754,115.39696961966999,3,8,0.8408117258708804
17,720.0,"(145.69444444444446, 30.85972222222222)",0.5320660856935366,99.84062043356593,3,1,0.9076696585181537
18,741.0,"(145.54655870445345, 393.27530364372467)",0.4617783775678513,103.74011537017762,3,7,0.865236075357385
19,659.0,"(145.50379362670714, 211.76176024279212)",0.4654963452249893,95.84062043356596,3,4,0.9015629285550933
20,739.0,"(145.63328822733425, 271.38430311231394)",0.45820265860065273,100.66904755831213,3,5,0.9163521074228467
21,724.0,"(145.88674033149172, 333.1339779005525)",0.46343660852923124,99.49747468305833,3,6,0.9190186268815008
22,739.0,"(145.17997293640053, 514.3667117726658)",0.4881689617660324,99.84062043356595,3,9,0.9316220522846048
23,710.0,"(145.68873239436618, 698.0943661971831)",0.5953843321366105,98.32590180780451,3,12,0.9228525916190088
24,634.0,"(145.39589905362777, 90.97160883280758)",0.5048720644935155,92.91168824543142,3,2,0.9229080178377328
25,645.0,"(145.8093023255814, 575.7627906976744)",0.5312175102599179,92.66904755831214,3,10,0.9438439140718987
26,735.0,"(146.97278911564626, 636.1142857142858)",0.5297105508870215,105.74011537017762,3,11,0.826071508165333
27,617.0,"(203.3095623987034, 92.6061588330632)",0.4898443872416606,100.08326112068522,4,2,0.7740555556378863
28,802.0,"(205.25436408977555, 30.826683291770575)",0.4980652942806383,109.39696961966999,4,1,0.8421193538526571
29,842.0,"(206.17102137767222, 453.9833729216152)",0.4319547296353221,110.08326112068524,4,8,0.8731309483394222
30,702.0,"(206.2905982905983, 393.43304843304844)",0.45426140066662946,98.42640687119285,4,7,0.9105917554116103
31,590.0,"(205.74576271186442, 152.0186440677966)",0.4704951811232968,87.84062043356595,4,3,0.9608842756229257
32,809.0,"(207.716934487021, 213.65760197775032)",0.42408848170500174,109.39696961966999,4,4,0.8494695227765581
33,697.0,"(206.06025824964132, 635.1793400286944)",0.5215667519996999,98.66904755831214,4,11,0.8996648856120916
34,673.0,"(206.7444279346211, 334.04606240713224)",0.43629830337285974,97.15432893255071,4,6,0.8959847452197707
35,638.0,"(207.0423197492163, 514.5188087774295)",0.47822853279242733,93.84062043356595,4,9,0.910434699697527
36,655.0,"(206.81526717557253, 575.181679389313)",0.49465449284039315,94.66904755831213,4,10,0.9184069221354526
37,705.0,"(266.3758865248227, 330.97446808510637)",0.4316840495063273,100.08326112068522,5,6,0.8844556997158993
38,719.0,"(265.8011126564673, 454.5146036161335)",0.44632068868344743,103.42640687119285,5,8,0.8446482373548204
39,674.0,"(266.5385756676558, 514.2893175074184)",0.4659413122321134,99.9827560572969,5,9,0.8472655581888596
40,727.0,"(267.18844566712517, 574.9738651994498)",0.4774550260269169,105.49747468305833,5,10,0.8208430907639745
41,638.0,"(265.5830721003135, 31.04075235109718)",0.5253037474132809,91.84062043356593,5,1,0.9505192678634184
42,635.0,"(266.61889763779527, 272.1464566929134)",0.42203283413102766,95.84062043356595,5,5,0.8687290737973967
43,574.0,"(266.01742160278746, 91.47909407665506)",0.4928263988522238,85.59797974644667,5,2,0.9844524110495774
44,694.0,"(267.4351585014409, 152.82276657060518)",0.436910210770187,98.91168824543142,5,3,0.8914030287431463
45,626.0,"(267.03514376996804, 636.370607028754)",0.5323226628244482,92.42640687119285,5,11,0.9208567107885194
46,627.0,"(326.3748006379585, 332.96491228070175)",0.4481637843866946,92.91168824543142,6,6,0.912718181678641
47,680.0,"(326.3602941176471, 151.18529411764706)",0.4475413302575932,95.59797974644665,6,3,0.9350209628260208
48,638.0,"(327.01567398119124, 31.103448275862068)",0.5206158952609257,94.42640687119285,6,1,0.8991737387801512
49,643.0,"(326.7433903576983, 91.6547433903577)",0.48247695138190055,97.84062043356593,6,2,0.8440777277580727
50,602.0,"(326.19269102990035, 212.80398671096344)",0.45266540724817056,89.01219330881975,6,4,0.9547888758425429
51,595.0,"(326.96638655462186, 392.9798319327731)",0.4646212995001922,89.01219330881975,6,7,0.9436866796118156
52,671.0,"(326.5543964232489, 453.274217585693)",0.4498290523362848,97.49747468305833,6,8,0.887044995679733
53,603.0,"(327.2106135986733, 574.9900497512438)",0.5116118752642018,89.84062043356595,6,10,0.9388186127599649
54,622.0,"(327.3762057877814, 636.3360128617363)",0.532402328562722,89.84062043356595,6,11,0.9683999620840765
55,722.0,"(385.4861495844875, 152.65512465373962)",0.4598120688718701,103.22539674441617,7,3,0.8514789973548966
56,638.0,"(385.2852664576802, 272.23354231974923)",0.4575265843014321,92.66904755831214,7,5,0.9336006467873975
57,651.0,"(386.384024577573, 515.6082949308756)",0.48303966747989524,96.66904755831213,7,9,0.875419010005754
58,728.0,"(386.760989010989, 91.36401098901099)",0.49353587588881703,102.9116882454314,7,2,0.8637972911800521
59,546.0,"(386.3058608058608, 212.58058608058607)",0.47644664703488226,85.01219330881975,7,4,0.94937996957132
60,594.0,"(387.456228956229, 332.7962962962963)",0.46856143130652933,88.42640687119285,7,6,0.9546240086316475
61,601.0,"(387.23793677204657, 452.65723793677205)",0.4784596478635824,92.32590180780451,7,8,0.8860071349809865
62,655.0,"(446.7328244274809, 272.1526717557252)",0.49964177019408273,96.66904755831213,8,5,0.8807979286540227
63,621.0,"(446.69565217391306, 452.85990338164254)",0.5184364244892804,93.49747468305833,8,8,0.8926921222379964
64,597.0,"(446.96649916247907, 90.90787269681742)",0.5640555719775348,89.59797974644665,8,2,0.9345181929674174
65,591.0,"(447.0439932318105, 392.7123519458545)",0.5190183913384868,91.59797974644667,8,7,0.8851676931322362
66,780.0,"(448.4384615384615, 636.1576923076923)",0.5867135914194737,103.1543289325507,8,11,0.9211482905411016
67,647.0,"(446.4296754250386, 152.36012364760433)",0.5129617844046428,93.59797974644667,8,3,0.928070984484343
68,590.0,"(447.02881355932203, 212.75762711864408)",0.5194461061260661,88.66904755831214,8,4,0.9430132364074886
69,540.0,"(446.8037037037037, 332.8388888888889)",0.5227814088598403,85.01219330881975,8,6,0.9389472226529537
70,582.0,"(447.6529209621993, 514.1030927835052)",0.5462614828290996,87.25483399593904,8,9,0.9606249350277303
71,639.0,"(447.5680751173709, 574.6447574334899)",0.5535160125604753,94.42640687119285,8,10,0.9005831020070793
